Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for, ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs)",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas,Year
Belgium,HONG KONG S.A.R.,HONG KONG,,,,,,628.0,600.0,380.0,0.6333333333333333,,28.0,0.044585987261146494,628.0,600.0,28.0,0.044585987261146494,2023
Belgium,HUNGARY,BUDAPEST,,,,,,4.0,3.0,3.0,1.0,,1.0,0.25,4.0,3.0,1.0,0.25,2023
Belgium,INDIA,MUMBAI,,,,,,16911.0,14645.0,12243.0,0.8359849778081256,,2266.0,0.13399562414996155,16911.0,14645.0,2266.0,0.13399562414996155,2023
Belgium,INDIA,NEW DELHI,,,,,,7075.0,5937.0,2558.0,0.43085733535455617,,1388.0,0.18948805460750853,7075.0,5937.0,1388.0,0.18948805460750853,2023
Belgium,INDONESIA,JAKARTA,,,,,,432.0,401.0,158.0,0.3940149625935162,,31.0,0.07175925925925926,432.0,401.0,31.0,0.07175925925925926,2023
Belgium,IRAN,TEHERAN,,,,,,2427.0,1717.0,533.0,0.31042516016307514,11.0,710.0,0.2912223133716161,2427.0,1728.0,710.0,0.2912223133716161,2023
Belgium,IRELAND,DUBLIN,,,,,,830.0,774.0,168.0,0.21705426356589147,2.0,56.0,0.0673076923076923,830.0,776.0,56.0,0.0673076923076923,2023
Belgium,ISRAEL,JERUSALEM,,,,,,588.0,444.0,136.0,0.3063063063063063,8.0,144.0,0.24161073825503357,588.0,452.0,144.0,0.24161073825503357,2023
Belgium,ISRAEL,TEL AVIV,1.0,1.0,1.0,,0.0,63.0,50.0,12.0,0.24,,13.0,0.20634920634920634,64.0,51.0,13.0,0.203125,2023
Belgium,ITALY,ROME,,,,,,3.0,1.0,,0.0,,2.0,0.6666666666666666,3.0,1.0,2.0,0.6666666666666666,2023
Belgium,JAMAICA,KINGSTON,4.0,1.0,1.0,3.0,0.75,828.0,575.0,203.0,0.35304347826086957,,253.0,0.3055555555555556,832.0,576.0,256.0,0.3076923076923077,2023
Belgium,JAPAN,TOKYO,1.0,,,1.0,1.0,278.0,251.0,225.0,0.896414342629482,,27.0,0.09712230215827339,279.0,251.0,28.0,0.1003584229390681,2023
Belgium,JORDAN,AMMAN,,,,,,1912.0,1080.0,362.0,0.3351851851851852,70.0,832.0,0.41977800201816345,1912.0,1150.0,832.0,0.41977800201816345,2023
Belgium,KENYA,NAIROBI,,,,,,1818.0,1284.0,376.0,0.29283489096573206,47.0,534.0,0.28632707774798927,1818.0,1331.0,534.0,0.28632707774798927,2023
Belgium,KUWAIT,KUWAIT,1.0,,,1.0,1.0,2609.0,2202.0,1783.0,0.8097184377838329,,407.0,0.1559984668455347,2610.0,2202.0,408.0,0.15632183908045977,2023
Belgium,LEBANON,BEIRUT,,,,,,2175.0,946.0,324.0,0.34249471458773784,10.0,1229.0,0.5624713958810069,2175.0,956.0,1229.0,0.5624713958810069,2023
Belgium,MALAYSIA,KUALA LUMPUR,,,,,,119.0,91.0,21.0,0.23076923076923078,,28.0,0.23529411764705882,119.0,91.0,28.0,0.23529411764705882,2023
Belgium,MEXICO,MEXICO CITY,1.0,1.0,1.0,,0.0,46.0,44.0,42.0,0.9545454545454546,,2.0,0.043478260869565216,47.0,45.0,2.0,0.0425531914893617,2023
Belgium,MOROCCO,RABAT,,,,,,15192.0,9346.0,7063.0,0.7557243740637706,32.0,5846.0,0.38399894902785076,15192.0,9378.0,5846.0,0.38399894902785076,2023
Belgium,NIGERIA,ABUJA,65.0,18.0,17.0,47.0,0.7230769230769231,4772.0,1792.0,1453.0,0.8108258928571429,35.0,2980.0,0.6199292698148533,4837.0,1845.0,3027.0,0.6213054187192119,2023
Belgium,PAKISTAN,ISLAMABAD,,,,,,3209.0,1253.0,263.0,0.20989624900239426,19.0,1956.0,0.6059479553903345,3209.0,1272.0,1956.0,0.6059479553903345,2023
Belgium,PANAMA,PANAMA CITY,,,,,,10.0,10.0,8.0,0.8,,0.0,0.0,10.0,10.0,,,2023
Belgium,PERU,LIMA,,,,,,85.0,57.0,25.0,0.43859649122807015,,28.0,0.32941176470588235,85.0,57.0,28.0,0.32941176470588235,2023
Belgium,PHILIPPINES,MANILA,,,,,,6713.0,6029.0,4265.0,0.707414164869796,,684.0,0.10189185163116342,6713.0,6029.0,684.0,0.10189185163116342,2023
Belgium,POLAND,WARSAW,,,,,,21.0,15.0,13.0,0.8666666666666667,,6.0,0.2857142857142857,21.0,15.0,6.0,0.2857142857142857,2023
Belgium,QATAR,DOHA,,,,,,920.0,622.0,488.0,0.7845659163987139,2.0,298.0,0.3232104121475054,920.0,624.0,298.0,0.3232104121475054,2023
Belgium,ROMANIA,BUCHAREST,,,,,,292.0,210.0,122.0,0.580952380952381,,82.0,0.2808219178082192,292.0,210.0,82.0,0.2808219178082192,2023
Belgium,RUSSIAN FEDERATION,MOSCOW,,,,,,2451.0,2120.0,1829.0,0.8627358490566037,4.0,331.0,0.13482688391038697,2451.0,2124.0,331.0,0.13482688391038697,2023
Belgium,RWANDA,KIGALI,4.0,3.0,3.0,1.0,0.25,10509.0,7620.0,2341.0,0.3072178477690289,36.0,2889.0,0.2739687055476529,10513.0,7659.0,2890.0,0.27395961702531046,2023
Belgium,SAUDI ARABIA,RIYADH,,,,,,2856.0,2278.0,1210.0,0.5311676909569798,6.0,578.0,0.20195667365478687,2856.0,2284.0,578.0,0.20195667365478687,2023
Belgium,SENEGAL,DAKAR,2.0,,,2.0,1.0,5286.0,1702.0,510.0,0.299647473560517,,3584.0,0.6780174044646236,5288.0,1702.0,3586.0,0.6781391830559758,2023
Belgium,SERBIA,BELGRADE,,,,,,148.0,124.0,63.0,0.5080645161290323,,24.0,0.16216216216216217,148.0,124.0,24.0,0.16216216216216217,2023
Belgium,SINGAPORE,SINGAPORE,,,,,,672.0,645.0,337.0,0.5224806201550387,1.0,27.0,0.04011887072808321,672.0,646.0,27.0,0.04011887072808321,2023
Belgium,SOUTH AFRICA,CAPE TOWN,,,,,,1895.0,1776.0,1639.0,0.9228603603603603,6.0,119.0,0.0625986322987901,1895.0,1782.0,119.0,0.0625986322987901,2023
Belgium,SOUTH AFRICA,PRETORIA,,,,,,3191.0,2853.0,573.0,0.20084121976866456,,338.0,0.10592290817925415,3191.0,2853.0,338.0,0.10592290817925415,2023
Belgium,SOUTH KOREA,SEOUL,,,,,,139.0,108.0,19.0,0.17592592592592593,,31.0,0.22302158273381295,139.0,108.0,31.0,0.22302158273381295,2023
Belgium,SWITZERLAND,BERN,,,,,,3.0,2.0,1.0,0.5,,1.0,0.3333333333333333,3.0,2.0,1.0,0.3333333333333333,2023
Belgium,TAIWAN,TAIPEI,,,,,,29.0,26.0,14.0,0.5384615384615384,,3.0,0.10344827586206896,29.0,26.0,3.0,0.10344827586206896,2023
Belgium,TANZANIA,DAR ES SALAAM,,,,,,1111.0,855.0,303.0,0.3543859649122807,,256.0,0.2304230423042304,1111.0,855.0,256.0,0.2304230423042304,2023
Belgium,THAILAND,BANGKOK,,,,,,3821.0,3291.0,1207.0,0.36675782436949256,1.0,530.0,0.13867085295656725,3821.0,3292.0,530.0,0.13867085295656725,2023
Belgium,TUNISIA,TUNIS,,,,,,4129.0,2189.0,1198.0,0.5472818638647784,,1940.0,0.4698474206829741,4129.0,2189.0,1940.0,0.4698474206829741,2023
Belgium,TÜRKIYE,ISTANBUL,2.0,,,,,7212.0,5230.0,4173.0,0.7978967495219885,7.0,1982.0,0.27455326222468485,7214.0,5237.0,1982.0,0.27455326222468485,2023
Belgium,UGANDA,KAMPALA,,,,,,1310.0,760.0,131.0,0.1723684210526316,,550.0,0.4198473282442748,1310.0,760.0,550.0,0.4198473282442748,2023
Belgium,UNITED ARAB EMIRATES,ABU DHABI,,,,,,6788.0,5513.0,5166.0,0.9370578632323598,,1275.0,0.18783146729522687,6788.0,5513.0,1275.0,0.18783146729522687,2023
Belgium,UNITED KINGDOM,LONDON,191.0,184.0,178.0,13.0,0.06598984771573604,12027.0,10288.0,7555.0,0.734350699844479,13.0,1739.0,0.14443521594684386,12218.0,10485.0,1752.0,0.14317234616327532,2023
Belgium,USA,"ATLANTA, GA",,,,,,656.0,620.0,152.0,0.24516129032258063,,36.0,0.054878048780487805,656.0,620.0,36.0,0.054878048780487805,2023
Belgium,USA,"LOS ANGELES, CA",,,,,,637.0,542.0,57.0,0.10516605166051661,,95.0,0.14913657770800628,637.0,542.0,95.0,0.14913657770800628,2023
Belgium,USA,"NEW YORK, NY",,,,,,1191.0,1071.0,276.0,0.25770308123249297,3.0,120.0,0.10050251256281408,1191.0,1074.0,120.0,0.10050251256281408,2023
Belgium,USA,"WASHINGTON, DC",3.0,2.0,1.0,1.0,0.3333333333333333,729.0,659.0,91.0,0.13808801213960548,,70.0,0.09602194787379972,732.0,661.0,71.0,0.09699453551912568,2023
Belgium,VIETNAM,HANOI,,,,,,1741.0,1532.0,556.0,0.3629242819843342,,209.0,0.12004595060310166,1741.0,1532.0,209.0,0.12004595060310166,2023
Croatia,ALBANIA,TIRANA,,,,,,3.0,3.0,2.0,0.6666666666666666,0.0,0.0,0.0,3.0,3.0,,,2023
Croatia,ALGERIA,ALGIERS,,,,,,955.0,248.0,137.0,0.5524193548387096,17.0,698.0,0.7248182762201454,955.0,265.0,698.0,0.7248182762201454,2023
Croatia,AUSTRALIA,CANBERRA,,,,,,11.0,10.0,10.0,1.0,0.0,0.0,0.0,11.0,10.0,,,2023
Croatia,AUSTRALIA,MELBOURNE,,,,,,60.0,58.0,23.0,0.39655172413793105,13.0,0.0,0.0,60.0,71.0,,,2023
Croatia,AUSTRALIA,PERTH,,,,,,12.0,6.0,5.0,0.8333333333333334,0.0,6.0,0.5,12.0,6.0,6.0,0.5,2023
Croatia,AUSTRALIA,SYDNEY,,,,,,38.0,38.0,38.0,1.0,0.0,0.0,0.0,38.0,38.0,,,2023
